timestamp,price,bid,ask
1763424337,92184.98374602302,0.62,0.64
1763424338,92169.3561588161,0.58,0.61
1763424339,92159.25117303898,0.57,0.58
1763424340,92151.10487323371,0.6,0.62
1763424341,92154.318707,0.63,0.65
1763424342,92155.93975427253,0.61,0.63
1763424343,92159.9053735,0.62,0.64
1763424344,92161.58382749518,0.62,0.63
1763424345,92161.56096365793,0.62,0.63
1763424346,92162.35814112783,0.62,0.63
1763424347,92161.65854910544,0.62,0.63
1763424348,92160.49094132757,0.6,0.61
1763424349,92157.63173475652,0.6,0.61
1763424350,92154.72135207929,0.6,0.61
1763424351,92151.53482671734,0.57,0.62
1763424352,92145.00413651715,0.57,0.62
1763424353,92137.2530288243,0.58,0.6
1763424354,92143.22372582431,0.58,0.6
1763424355,92138.06854810537,0.58,0.6
1763424356,92138.05111224102,0.58,0.6
1763424357,92135.86734372824,0.58,0.6
1763424358,92136.59662194923,0.58,0.59
1763424359,92135.2528010943,0.58,0.6
1763424360,92134.89816086044,0.59,0.6
1763424361,92144.15000721182,0.59,0.6
1763424362,92144.15000721182,0.59,0.6
1763424363,92145.34602066997,0.59,0.6
1763424364,92145.34602066997,0.59,0.6
1763424365,92140.60900315891,0.59,0.6
1763424366,92140.98015780475,0.58,0.6
1763424367,92140.40130369239,0.58,0.6
1763424368,92142.8345909666,0.58,0.6
1763424369,92142.8345909666,0.56,0.57
1763424370,92141.42950365752,0.5,0.52
1763424371,92122.29040275807,0.5,0.51
1763424372,92111.15044548416,0.52,0.53
1763424373,92111.15044548416,0.53,0.54
1763424374,92115.88354775679,0.51,0.53
1763424377,92108.90354507774,0.49,0.53
1763424378,92114.06039439722,0.52,0.53
1763424379,92113.16166576516,0.52,0.53
1763424380,92111.31880274876,0.52,0.53
1763424381,92111.39911675312,0.52,0.53
1763424382,92111.33553973558,0.5,0.52
1763424383,92110.03648776653,0.52,0.54
1763424384,92110.83570476537,0.52,0.53
1763424385,92114.34474080842,0.57,0.6
1763424386,92126.71215507812,0.59,0.6
1763424387,92139.7585235,0.61,0.62
1763424388,92150.07863194039,0.61,0.62
1763424389,92149.6416319404,0.61,0.62
1763424390,92149.425634,0.61,0.62
1763424391,92149.424134,0.61,0.62
1763424392,92149.5226667086,0.61,0.62
1763424393,92151.67246294078,0.63,0.64
1763424394,92170.76943216333,0.66,0.68
1763424395,92176.12218729297,0.66,0.68
1763424396,92176.11764330445,0.66,0.67
1763424397,92176.11764330445,0.66,0.67
1763424398,92176.10533315281,0.65,0.67
1763424399,92176.21180427466,0.65,0.66
1763424400,92172.13845820144,0.63,0.64
1763424401,92168.78452102948,0.63,0.65
1763424402,92163.051200074,0.62,0.65
1763424403,92166.25365669366,0.64,0.66
1763424404,92166.25365669366,0.64,0.66
1763424405,92167.70226025583,0.64,0.65
1763424406,92167.70226025583,0.62,0.63
1763424407,92160.03378962731,0.61,0.62
1763424408,92160.03378962731,0.61,0.62
1763424409,92159.51958712033,0.61,0.62
1763424410,92153.00002542825,0.62,0.64
1763424411,92153.00002542825,0.61,0.64
1763424412,92157.14985840689,0.64,0.65
1763424413,92157.54139216752,0.65,0.66
1763424414,92165.56195475055,0.65,0.66
1763424415,92164.68842973607,0.63,0.65
1763424416,92164.72090424126,0.63,0.65
1763424417,92164.06951505093,0.63,0.64
1763424418,92164.06951505093,0.62,0.64
1763424419,92160.25411909485,0.63,0.65
1763424420,92160.49252255533,0.66,0.68
1763424421,92170.09613641219,0.65,0.68
1763424422,92176.19681101211,0.65,0.66
1763424423,92174.15841650909,0.63,0.64
1763424424,92162.28131715048,0.61,0.63
1763424425,92162.28131715048,0.61,0.63
1763424426,92152.69639328774,0.62,0.63
1763424427,92152.69639328774,0.62,0.63
1763424428,92154.0584459868,0.61,0.63
1763424429,92154.2276167004,0.6,0.61
1763424430,92155.96450874074,0.64,0.65
1763424431,92155.93837332091,0.64,0.65
1763424432,92163.29450438493,0.65,0.66
1763424433,92166.75859257192,0.63,0.64
1763424434,92169.99877276957,0.63,0.64
1763424436,92168.64000375861,0.64,0.66
1763424437,92163.94677569653,0.66,0.68
1763424438,92170.73053760613,0.66,0.68
1763424439,92174.87413415633,0.66,0.68
1763424440,92179.9272455,0.67,0.68
1763424441,92180.27217512931,0.68,0.7
1763424442,92182.641618,0.68,0.7
1763424443,92184.69645723217,0.68,0.69
1763424444,92182.83107628611,0.66,0.68
1763424445,92176.71423494164,0.69,0.7
1763424447,92177.53757546691,0.69,0.72
1763424449,92188.32946077122,0.69,0.72
1763424450,92188.66413605267,0.7,0.72
1763424451,92188.67513605267,0.71,0.72
1763424452,92191.62165300551,0.71,0.73
1763424453,92191.66417964068,0.64,0.69
1763424454,92188.41771422235,0.64,0.66
1763424455,92170.74295607767,0.65,0.66
1763424457,92168.77570471457,0.67,0.69
1763424458,92169.87588381243,0.67,0.69
1763424459,92172.44263393884,0.67,0.69
1763424460,92172.51023159997,0.67,0.69
1763424461,92176.6732345726,0.66,0.7
1763424462,92176.6732345726,0.68,0.69
1763424463,92175.01440214907,0.66,0.69
1763424464,92175.01440214907,0.66,0.69
1763424465,92176.29179001474,0.67,0.7
1763424466,92174.40613686609,0.67,0.68
1763424467,92174.52506489771,0.66,0.67
1763424468,92174.51556489771,0.65,0.68
1763424469,92169.61084362071,0.64,0.67
1763424470,92169.61084362071,0.65,0.66
1763424471,92170.50856661823,0.65,0.68
1763424472,92170.50856661823,0.65,0.68
1763424473,92169.73164702262,0.65,0.68
1763424474,92169.73164702262,0.66,0.68
1763424475,92169.37795259673,0.66,0.68
1763424476,92168.45550659121,0.67,0.68
1763424477,92168.98927982099,0.65,0.68
1763424478,92169.05357727155,0.66,0.68
1763424479,92169.05357727155,0.66,0.68
1763424480,92169.8995262168,0.67,0.69
1763424481,92169.8995262168,0.65,0.67
1763424482,92170.30715473913,0.64,0.67
1763424483,92167.14275525606,0.64,0.67
1763424484,92164.35383122406,0.65,0.67
1763424485,92163.61194347506,0.66,0.69
1763424486,92167.15196734722,0.67,0.69
1763424487,92168.7056509937,0.68,0.7
1763424488,92172.69978911192,0.68,0.7
1763424489,92172.75978911192,0.68,0.71
1763424490,92175.6635137919,0.7,0.72
1763424491,92175.81860360049,0.69,0.71
1763424492,92176.52164740852,0.7,0.72
1763424493,92176.86489291264,0.72,0.74
1763424494,92184.80789037593,0.73,0.75
1763424495,92199.86010791388,0.74,0.77
1763424496,92205.1220640739,0.76,0.77
1763424497,92205.8086044079,0.76,0.77
1763424498,92208.91804420247,0.76,0.77
1763424499,92209.87204420246,0.76,0.77
1763424500,92202.61107861604,0.75,0.76
1763424501,92203.55894808691,0.75,0.76
1763424502,92205.11575091124,0.75,0.76
1763424503,92205.55295721024,0.74,0.76
1763424504,92205.55295721024,0.72,0.74
1763424505,92193.41674625337,0.72,0.74
1763424506,92192.37983980613,0.72,0.74
1763424507,92191.40649518387,0.71,0.74
1763424508,92191.1106508845,0.71,0.73
1763424509,92186.86724494642,0.7,0.73
1763424510,92186.86724494642,0.7,0.72
1763424511,92182.0189399295,0.71,0.73
1763424512,92176.56202613849,0.71,0.74
1763424513,92183.1591990963,0.71,0.74
1763424514,92183.40200648234,0.71,0.74
1763424515,92184.40782543234,0.73,0.75
1763424516,92185.78025285591,0.73,0.75
1763424517,92185.95767468812,0.72,0.73
1763424518,92180.8477153297,0.7,0.72
1763424519,92180.7722153297,0.71,0.73
1763424520,92179.83503581214,0.71,0.73
1763424521,92181.8913635461,0.72,0.73
1763424522,92181.8913635461,0.72,0.73
1763424523,92190.71407727561,0.74,0.76
1763424524,92190.71407727561,0.75,0.76
1763424525,92195.37341807273,0.75,0.76
1763424526,92196.2074475,0.74,0.77
1763424527,92199.22026346653,0.76,0.77
1763424528,92199.61330525926,0.76,0.77
1763424529,92200.42318980763,0.76,0.77
1763424530,92200.01078574591,0.76,0.77
1763424531,92187.27648391562,0.7,0.73
1763424532,92179.70922382027,0.71,0.73
1763424533,92177.65305651967,0.71,0.73
1763424534,92177.11607693648,0.71,0.73
1763424535,92177.11607693648,0.71,0.73
1763424536,92177.30446821386,0.71,0.73
1763424537,92177.30446821386,0.71,0.73
1763424538,92178.41286657822,0.7,0.72
1763424539,92178.2259974226,0.7,0.71
1763424540,92176.43835121812,0.72,0.74
1763424541,92174.17258821274,0.72,0.74
1763424542,92184.53730818974,0.74,0.76
1763424543,92184.53730818974,0.74,0.76
1763424544,92192.17197,0.74,0.76
1763424545,92192.17197,0.75,0.76
1763424546,92194.85099016018,0.76,0.78
1763424547,92196.63765646149,0.76,0.78
1763424548,92196.95724696988,0.76,0.78
1763424549,92200.41095711132,0.76,0.78
1763424550,92200.49497102271,0.76,0.78
1763424551,92200.26457007386,0.76,0.77
1763424552,92198.847934407,0.76,0.78
1763424553,92198.84222087593,0.77,0.78
1763424554,92196.70635481432,0.76,0.78
1763424555,92196.70635481432,0.76,0.78
1763424556,92193.50259059957,0.76,0.78
1763424557,92193.49309059957,0.76,0.78
1763424558,92193.49084301766,0.77,0.78
1763424559,92193.49184301766,0.77,0.78
1763424560,92202.36809683604,0.78,0.8
1763424561,92204.06715108981,0.79,0.8
1763424562,92204.4333971462,0.79,0.8
1763424563,92209.36527100232,0.79,0.8
1763424564,92211.68625527399,0.81,0.82
1763424565,92212.57300875368,0.81,0.82
1763424566,92215.17859157245,0.81,0.82
1763424567,92218.75265823778,0.81,0.82
1763424568,92219.5407164263,0.82,0.84
1763424569,92220.09770182753,0.82,0.84
1763424570,92220.0079060991,0.82,0.84
1763424571,92220.48332359402,0.82,0.84
