timestamp,symbol,price,delta,delta_pct,sigma,seconds_left,prob_up,bid,ask
1763128554,btc/usd,95277.944,600.458,0.0063,0.000149,246,0.997,0.98,
1763128555,btc/usd,95311.022,633.536,0.0067,0.00015,245,0.998,0.98,0.99
1763128557,btc/usd,95314.141,636.655,0.0067,0.00015,243,0.998,0.98,
1763128558,btc/usd,95317.709,640.223,0.0068,0.00015,242,0.998,0.98,0.99
1763128559,btc/usd,95318.798,641.312,0.0068,0.000149,241,0.998,0.98,0.99
1763128561,btc/usd,95301.0,623.514,0.0066,0.00015,239,0.998,0.98,
1763128562,btc/usd,95286.785,609.299,0.0064,0.000149,238,0.997,0.99,
1763128563,btc/usd,95298.61,621.124,0.0066,0.000149,237,0.998,0.99,
1763128565,btc/usd,95332.995,655.509,0.0069,0.00015,235,0.999,0.99,
1763128566,btc/usd,95354.617,677.131,0.0072,0.00015,234,0.999,0.99,
1763128568,btc/usd,95373.2,695.714,0.0073,0.00015,232,0.999,0.99,
1763128569,btc/usd,95395.922,718.436,0.0076,0.00015,231,1.0,0.99,
1763128570,btc/usd,95377.581,700.095,0.0074,0.00015,230,0.999,0.99,
1763128572,btc/usd,95357.269,679.783,0.0072,0.00015,228,0.999,0.99,
1763128573,btc/usd,95378.517,701.031,0.0074,0.00015,227,0.999,0.99,
1763128575,btc/usd,95378.517,701.031,0.0074,0.00015,225,0.999,0.99,
1763128576,btc/usd,95365.151,687.665,0.0073,0.000151,224,0.999,0.99,
1763128577,btc/usd,95365.151,687.665,0.0073,0.000151,223,0.999,0.99,
1763128579,btc/usd,95326.272,648.786,0.0069,0.000151,221,0.999,0.99,
1763128580,btc/usd,95328.173,650.687,0.0069,0.000151,220,0.999,0.99,
1763128581,btc/usd,95328.878,651.392,0.0069,0.000151,219,0.999,0.99,
1763128583,btc/usd,95269.148,591.662,0.0062,0.000153,217,0.997,0.99,
1763128584,btc/usd,95265.774,588.288,0.0062,0.000153,216,0.997,0.98,
1763128586,btc/usd,95277.489,600.003,0.0063,0.000153,214,0.998,0.99,
1763128587,btc/usd,95257.612,580.126,0.0061,0.000153,213,0.997,0.99,
1763128594,btc/usd,95330.544,9.609,0.0001,0.0,206,1.0,0.99,
1763128596,btc/usd,95332.38,11.446,0.0001,5.8e-05,204,0.558,0.99,
1763128597,btc/usd,95336.754,15.82,0.0002,4.2e-05,203,0.61,0.99,
1763128598,btc/usd,95316.829,-4.106,-0.0,0.000105,202,0.489,0.99,
1763128600,btc/usd,95303.631,-17.304,-0.0002,0.000108,200,0.453,0.99,
1763128601,btc/usd,95306.641,-14.293,-0.0001,9.4e-05,199,0.455,0.99,
1763128603,btc/usd,95317.854,-3.081,-0.0,9.9e-05,197,0.491,0.99,
1763128604,btc/usd,95321.818,0.883,0.0,9.5e-05,196,0.503,0.99,
1763128605,btc/usd,95326.874,5.939,0.0001,8.7e-05,195,0.521,0.99,
1763128607,btc/usd,95325.35,4.416,0.0,8.3e-05,193,0.516,0.99,
1763128608,btc/usd,95318.899,-2.036,-0.0,7.9e-05,192,0.492,0.99,
1763128609,btc/usd,95312.186,-8.748,-0.0001,7.8e-05,191,0.466,0.99,
1763128611,btc/usd,95333.556,12.621,0.0001,9.4e-05,189,0.541,0.99,
1763128612,btc/usd,95333.556,12.621,0.0001,9.1e-05,188,0.542,0.99,
1763128613,btc/usd,95334.888,13.954,0.0001,8.7e-05,187,0.549,0.99,
1763128615,btc/usd,95341.135,20.2,0.0002,8.6e-05,185,0.572,0.99,
1763128616,btc/usd,95374.222,53.287,0.0006,0.000108,184,0.649,0.99,
1763128618,btc/usd,95349.656,28.721,0.0003,0.00012,182,0.574,0.99,
1763128619,btc/usd,95342.536,21.601,0.0002,0.000117,181,0.558,0.99,
1763128620,btc/usd,95332.416,11.482,0.0001,0.000117,180,0.531,0.99,
